2025-09-15 20:40:17 | INFO | Logging to file: logs/project_log.log
2025-09-15 20:40:17 | INFO | Log sanitization enabled, personal info removed
2025-09-15 20:40:34 | INFO | Logging to file: logs/project_log.log
2025-09-15 20:40:34 | INFO | Log sanitization enabled, personal info removed
2025-09-15 20:41:17 | INFO | Logging to file: logs/project_log.log
2025-09-15 20:41:17 | INFO | Log sanitization enabled, personal info removed
2025-09-15 20:41:17 | INFO | Starting Producer to run continuously.
2025-09-15 20:41:17 | INFO | Use Ctrl+C to stop.
2025-09-15 20:41:17 | INFO | MESSAGE_INTERVAL_SECONDS: 5
2025-09-15 20:41:17 | INFO | BUZZ_TOPIC: buzzline
2025-09-15 20:41:17 | INFO | KAFKA_BROKER_ADDRESS: 127.0.0.1:9092
2025-09-15 20:41:17 | INFO | BASE_DATA_DIR: PROJECT_ROOT/data
2025-09-15 20:41:17 | INFO | LIVE_DATA_PATH: PROJECT_ROOT/data/project_live.json
2025-09-15 20:41:17 | INFO | BASE_DATA_DIR: PROJECT_ROOT/data
2025-09-15 20:41:17 | INFO | SQLITE_PATH: PROJECT_ROOT/data/buzz.sqlite
2025-09-15 20:41:17 | INFO | Kafka broker address: localhost:9092
2025-09-15 20:41:17 | INFO | Kafka is ready. Brokers: {'throttle_time_ms': 0, 'brokers': [{'node_id': 1, 'host': 'localhost', 'port': 9092, 'rack': None}], 'cluster_id': 'fyTwFSU3TlSmymUFvycPSg', 'controller_id': 1}
2025-09-15 20:41:19 | WARNING | WARNING: Kafka setup failed: NoBrokersAvailable
2025-09-15 20:41:19 | INFO | {'message': 'I just shared a trick! It was exciting.', 'author': 'Bob', 'timestamp': '2025-09-15 20:41:19', 'category': 'other', 'sentiment': 0.75, 'keyword_mentioned': 'other', 'message_length': 39}
2025-09-15 20:41:24 | INFO | {'message': 'I just shared game! It was amazing.', 'author': 'Eve', 'timestamp': '2025-09-15 20:41:24', 'category': 'gaming', 'sentiment': 0.48, 'keyword_mentioned': 'game', 'message_length': 35}
2025-09-15 20:41:29 | INFO | {'message': 'I just tried travel! It was exciting.', 'author': 'Bob', 'timestamp': '2025-09-15 20:41:29', 'category': 'travel', 'sentiment': 0.4, 'keyword_mentioned': 'travel', 'message_length': 37}
